top - 15:13:48 up 48 days, 19:21,  3 users,  load average: 9.52, 9.26, 7.18
Tasks: 881 total,   6 running, 875 sleeping,   0 stopped,   0 zombie
%Cpu(s): 14.7 us, 17.4 sy,  0.0 ni, 63.5 id,  0.0 wa,  0.6 hi,  3.9 si,  0.0 st 
MiB Mem :  31223.2 total,    603.5 free,  22949.8 used,   8398.2 buff/cache     
MiB Swap:   8192.0 total,   4376.5 free,   3815.5 used.   8273.3 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    102 root      -2   0       0      0      0 S   0.0   0.0   1:56.71 rcuc/9
    103 root      -2   0       0      0      0 S   0.0   0.0   6:44.87 ktimers+
    104 root      20   0       0      0      0 S   0.0   0.0   2:07.92 ksoftir+
    106 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    107 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/10
    108 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    109 root      -2   0       0      0      0 S   0.0   0.0   0:02.43 irq_wor+
    110 root      rt   0       0      0      0 S   0.0   0.0   4:34.77 migrati+
    111 root      -2   0       0      0      0 S   0.0   0.0   1:05.20 rcuc/10
    112 root      -2   0       0      0      0 S   0.0   0.0   7:34.24 ktimers+
    113 root      20   0       0      0      0 S   0.0   0.0   1:23.04 ksoftir+
    115 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    116 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/11
    117 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    118 root      -2   0       0      0      0 S   0.0   0.0   0:02.67 irq_wor+
    120 root      -2   0       0      0      0 S   0.0   0.0   1:34.07 rcuc/11
    122 root      20   0       0      0      0 S   0.0   0.0   2:40.36 ksoftir+
    124 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    125 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/12
    126 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    127 root      -2   0       0      0      0 S   0.0   0.0   0:02.71 irq_wor+
    128 root      rt   0       0      0      0 S   0.0   0.0   1:26.57 migrati+
    129 root      -2   0       0      0      0 S   0.0   0.0   1:37.03 rcuc/12
    130 root      -2   0       0      0      0 S   0.0   0.0   6:53.77 ktimers+
    131 root      20   0       0      0      0 S   0.0   0.0   2:21.00 ksoftir+
    133 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    134 root      -2   0       0      0      0 S   0.0   0.0   0:00.02 rcub/2
    135 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/13
    136 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    137 root      -2   0       0      0      0 S   0.0   0.0   0:02.73 irq_wor+
    139 root      -2   0       0      0      0 S   0.0   0.0   1:34.43 rcuc/13
    141 root      20   0       0      0      0 S   0.0   0.0   2:28.06 ksoftir+
    143 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    144 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/14
    145 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    146 root      -2   0       0      0      0 S   0.0   0.0   0:02.69 irq_wor+
    147 root      rt   0       0      0      0 S   0.0   0.0   1:21.40 migrati+
    148 root      -2   0       0      0      0 S   0.0   0.0   1:51.38 rcuc/14
    149 root      -2   0       0      0      0 S   0.0   0.0   7:29.70 ktimers+
    150 root      20   0       0      0      0 S   0.0   0.0   2:25.38 ksoftir+
    152 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    153 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/15
    154 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    155 root      -2   0       0      0      0 S   0.0   0.0   0:02.60 irq_wor+
    156 root      rt   0       0      0      0 S   0.0   0.0   3:17.93 migrati+
    157 root      -2   0       0      0      0 S   0.0   0.0   1:04.56 rcuc/15
    158 root      -2   0       0      0      0 S   0.0   0.0   7:36.85 ktimers+
    159 root      20   0       0      0      0 S   0.0   0.0   1:19.64 ksoftir+
    161 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    162 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/16
    163 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    164 root      -2   0       0      0      0 S   0.0   0.0   0:02.26 irq_wor+
    165 root      rt   0       0      0      0 S   0.0   0.0   3:26.24 migrati+
    166 root      -2   0       0      0      0 S   0.0   0.0   0:55.06 rcuc/16
    167 root      -2   0       0      0      0 S   0.0   0.0   7:20.72 ktimers+
    168 root      20   0       0      0      0 S   0.0   0.0   1:08.97 ksoftir+
    170 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    171 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/17
    172 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    173 root      -2   0       0      0      0 S   0.0   0.0   0:02.12 irq_wor+
    174 root      rt   0       0      0      0 S   0.0   0.0   3:34.78 migrati+
    175 root      -2   0       0      0      0 R   0.0   0.0   0:51.34 rcuc/17
    176 root      -2   0       0      0      0 S   0.0   0.0   7:06.56 ktimers+
